trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
56,False,"{'a': 0.1, 'e': 2.20000000000001}",25,0,-185.84011271224261,"{0: 11, 1: 2, 2: 9, 3: 1, 4: 2}",0
57,False,"{'a': 0.1, 'e': 2.15000000000001}",25,0,-93.48469041265382,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
58,False,"{'a': 0.1, 'e': 2.1000000000000103}",30,0,-207.948316706243,"{0: 15, 1: 5, 2: 6, 3: 1, 4: 3}",0
59,False,"{'a': 0.1, 'e': 2.0500000000000105}",20,0,-126.84582116054807,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
60,False,"{'a': 0.1, 'e': 2.0000000000000107}",30,0,-60.27706610563866,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
61,False,"{'a': 0.1, 'e': 1.9500000000000106}",35,21,-62.26224862927759,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
62,False,"{'a': 0.1, 'e': 1.9000000000000106}",20,0,-112.2610198806991,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
63,False,"{'a': 0.1, 'e': 1.8500000000000105}",20,13,-52.841133457917344,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 1}",1
64,False,"{'a': 0.1, 'e': 1.8000000000000105}",30,0,-204.56999280503965,"{0: 14, 1: 3, 2: 10, 3: 1, 4: 2}",0
65,False,"{'a': 0.1, 'e': 1.7500000000000104}",35,0,-90.73634731166068,"{0: 23, 1: 6, 2: 5, 3: 0, 4: 1}",0
66,False,"{'a': 0.1, 'e': 1.7000000000000104}",20,0,-49.955274691122796,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
67,False,"{'a': 0.1, 'e': 1.6500000000000103}",35,0,-180.71094072061865,"{0: 22, 1: 2, 2: 7, 3: 2, 4: 2}",0
68,False,"{'a': 0.1, 'e': 1.6000000000000103}",30,8,-148.43818289224808,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 2}",1
69,False,"{'a': 0.1, 'e': 1.5500000000000103}",25,0,-14.781734017760385,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
70,False,"{'a': 0.1, 'e': 1.5000000000000102}",30,0,-112.28557581257182,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 2}",0
71,False,"{'a': 0.1, 'e': 1.4500000000000102}",35,0,-270.2377028361275,"{0: 19, 1: 3, 2: 8, 3: 0, 4: 5}",0
72,False,"{'a': 0.1, 'e': 1.4000000000000101}",20,0,-135.75753176801442,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
73,False,"{'a': 0.1, 'e': 1.35000000000001}",20,0,-70.31144727639514,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
74,False,"{'a': 0.1, 'e': 1.30000000000001}",25,11,-52.060688208382054,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
75,False,"{'a': 0.1, 'e': 1.25000000000001}",30,0,-156.28043842249127,"{0: 20, 1: 2, 2: 4, 3: 2, 4: 2}",0
76,False,"{'a': 0.1, 'e': 1.20000000000001}",20,0,-132.79307388633217,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
