trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
76,False,"{'a': 0.1, 'e': 1.20000000000001}",20,0,-94.7363771418365,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
77,False,"{'a': 0.1, 'e': 1.15000000000001}",25,0,-84.35987147011508,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
78,False,"{'a': 0.1, 'e': 1.1000000000000099}",20,0,-112.30361311549058,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
79,False,"{'a': 0.1, 'e': 1.0500000000000098}",20,0,-60.12470017068526,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
80,False,"{'a': 0.1, 'e': 1.0000000000000098}",20,7,-61.243259605181834,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
81,False,"{'a': 0.1, 'e': 0.9500000000000097}",25,0,-123.15701834398273,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
82,False,"{'a': 0.1, 'e': 0.9000000000000097}",20,0,-94.38001942076568,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
83,False,"{'a': 0.1, 'e': 0.8500000000000096}",25,0,-93.33138788171081,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
84,False,"{'a': 0.1, 'e': 0.8000000000000096}",20,0,-55.248020094588234,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
85,False,"{'a': 0.1, 'e': 0.7500000000000095}",30,7,-90.08168525119976,"{0: 15, 1: 5, 2: 1, 3: 0, 4: 2}",1
86,False,"{'a': 0.1, 'e': 0.7000000000000095}",20,0,-115.17000367636952,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
87,False,"{'a': 0.1, 'e': 0.6500000000000095}",25,0,-110.72929688565209,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
88,False,"{'a': 0.1, 'e': 0.6000000000000094}",25,0,11.881411376694516,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
89,False,"{'a': 0.1, 'e': 0.5500000000000094}",20,5,25.738673969797205,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.1, 'e': 0.5000000000000093}",30,18,-7.262503271400507,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
91,False,"{'a': 0.1, 'e': 0.45000000000000934}",30,21,16.794021807678966,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.1, 'e': 0.40000000000000935}",20,5,-39.893372317151055,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 1}",1
93,False,"{'a': 0.1, 'e': 0.35000000000000936}",20,0,-61.51219958959977,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
94,False,"{'a': 0.1, 'e': 0.30000000000000937}",20,10,9.399764187075071,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.1, 'e': 0.2500000000000094}",20,6,-4.090501691610182,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.1, 'e': 0.2000000000000094}",20,15,7.81297425362925,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.1, 'e': 0.1500000000000094}",20,14,8.674381732895574,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.1, 'e': 0.1000000000000094}",20,9,19.81689829976764,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.1, 'e': 0.0500000000000094}",20,12,16.402241105809455,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.1, 'e': 9.395262345890387e-15}",20,8,20.152618870558285,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,8,19.260117752561385,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,11,29.075192959517224,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",35,5,53.39397534423788,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,8,28.341217165309285,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,3,29.393523282787342,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,16,6.190295166489902,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,15,21.38097485528144,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,11,36.489914028508714,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,16,9.206492746954211,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,17,16.698454422936887,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",30,13,32.185763083210624,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",30,18,22.62389494612218,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",25,16,20.127344390378628,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",20,13,13.45317878644509,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",20,6,24.193316147684335,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",20,12,15.202767116726887,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",20,13,10.911467269196928,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",30,8,36.043334970657426,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",25,18,15.340061612240742,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",20,6,21.464870330260425,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
